Description,UPC,Store,LOOKUP,CAT,"In Set, LTO, Sub",SOUTH VENDOR,S VIN,NORTH VENDOR,N VIN,Comments
ANGRY ORCH 6PK BTL,087692821021,11,ANGRY ORCH 6PK BTL11,BEER,,FABIANO,81303,ALPENA,6602,
ARNOLD PALMER SPIKED HALF HALF 24OZ,613008748296,11,ARNOLD PALMER SPIKED HALF HALF 24OZ11,BEER,,JPO,1910,GRIFFIN,4608,
BELLS OBERON 12PK,740522110664,11,BELLS OBERON 12PK11,BEER,,FABIANO,7556,GRIFFIN,2919,
BELLS SEASONAL 6PK BTL,740522100160,11,BELLS SEASONAL 6PK BTL11,BEER,,FABIANO,7710,GRIFFIN,1505,
BELLS TWO HEARTED 12PK,740522110862,11,BELLS TWO HEARTED 12PK11,BEER,,FABIANO,7896,GRIFFIN,3149,
BELLS TWO HEARTED 19OZ,740522120861,11,BELLS TWO HEARTED 19OZ11,BEER,,FABIANO,7589,GRIFFIN,6656,
BELLS TWO HEARTED 6PK B,740522100832,11,BELLS TWO HEARTED 6PK B11,BEER,,FABIANO,7709,GRIFFIN,1503,
BLIND LEMON VP 12PK,810117130923,11,BLIND LEMON VP 12PK11,BEER,,FABIANO,58290,GRIFFIN,9384,
BLUE MOON 12PK BTL,071990095161,11,BLUE MOON 12PK BTL11,BEER,,JPO,12304,ALPENA,1251,
BLUE MOON 6PK BTL,071990095116,11,BLUE MOON 6PK BTL11,BEER,,JPO,12302,ALPENA,1265,
BLUE MOON EXTRA 19OZ,071990001360,11,BLUE MOON EXTRA 19OZ11,BEER,,JPO,143,ALPENA,1319,
BUD 12OZ 18PK,018200112188,11,BUD 12OZ 18PK11,BEER,,FABIANO,1118,GRIFFIN,20,
BUD 12PK BTL,018200007712,11,BUD 12PK BTL11,BEER,,FABIANO,1103,GRIFFIN,12,
BUD 15PK,018200113154,11,BUD 15PK11,BEER,,FABIANO,1185,GRIFFIN,680,
BUD 16OZ 8PK,018200089817,11,BUD 16OZ 8PK11,BEER,,FABIANO,1157,SOUTHERN PRODUCT,,
BUD 24PK,018200111686,11,BUD 24PK11,BEER,,FABIANO,1109,GRIFFIN,18,
BUD 25OZ,018200250002,11,BUD 25OZ11,BEER,,FABIANO,1155,GRIFFIN,109,
BUD 6PK BTL,018200008344,11,BUD 6PK BTL11,BEER,,FABIANO,1102,GRIFFIN,11,
BUD CHELADA 25OZ,018200255090,11,BUD CHELADA 25OZ11,BEER,,FABIANO,1156,GRIFFIN,6100,
BUD ICE 25OZ,018200250064,11,BUD ICE 25OZ11,BEER,,FABIANO,1255,GRIFFIN,117,
BUD LGHT ALUM 16OZ 8PK,018200209987,11,BUD LGHT ALUM 16OZ 8PK11,BEER,,FABIANO,2163,GRIFFIN,112,
BUD LIGHT 12OZ 18PK,018200532184,11,BUD LIGHT 12OZ 18PK11,BEER,,FABIANO,2118,SOUTHERN PRODUCT,,
BUD LIGHT 12PK BTL,018200007699,11,BUD LIGHT 12PK BTL11,BEER,,FABIANO,2103,GRIFFIN,47,
BUD LIGHT 15PK,018200533150,11,BUD LIGHT 15PK11,BEER,,FABIANO,2185,GRIFFIN,681,
BUD LIGHT 16OZ 8PK,018200089893,11,BUD LIGHT 16OZ 8PK11,BEER,,FABIANO,2157,SOUTHERN PRODUCT,,
BUD LIGHT 20PK BTL,018200530258,11,BUD LIGHT 20PK BTL11,BEER,,FABIANO,2120,GRIFFIN,551,
BUD LIGHT 24PK,018200531682,11,BUD LIGHT 24PK11,BEER,,FABIANO,2109,GRIFFIN,51,
BUD LIGHT 25OZ,018200250019,11,BUD LIGHT 25OZ11,BEER,,FABIANO,2155,GRIFFIN,110,
BUD LIGHT 6PK,018200001062,11,BUD LIGHT 6PK11,BEER,,FABIANO,2108,GRIFFIN,49,
BUD LIGHT 6PK BTL,018200008337,11,BUD LIGHT 6PK BTL11,BEER,,FABIANO,2102,GRIFFIN,46,
